,Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
0,Changi,2016,3,1,0.0,0.0,0.0,0.0,28.6,31.9,26.1,13.7,42.5
1,Changi,2016,3,2,0.0,0.0,0.0,0.0,28.2,31.2,26.4,14.0,44.6
2,Changi,2016,3,3,0.0,0.0,0.0,0.0,28.5,32.0,26.8,13.3,40.3
3,Changi,2016,3,4,0.4,0.2,0.4,0.4,28.4,31.6,26.5,12.6,37.4
4,Changi,2016,3,5,0.0,0.0,0.0,0.0,28.6,32.2,26.2,11.5,35.3
5,Changi,2016,3,6,0.0,0.0,0.0,0.0,29.0,32.7,26.9,13.0,31.7
6,Changi,2016,3,7,0.0,0.0,0.0,0.0,28.5,32.6,26.6,11.9,34.9
7,Changi,2016,3,8,0.6,0.6,0.6,0.6,28.4,32.4,26.7,8.3,23.8
8,Changi,2016,3,9,0.0,0.0,0.0,0.0,29.2,33.2,26.8,11.9,27.0
9,Changi,2016,3,10,1.6,1.0,1.2,1.4,29.0,33.4,26.8,9.0,26.6
10,Changi,2016,3,11,0.0,0.0,0.0,0.0,29.4,33.8,27.0,11.5,33.8
11,Changi,2016,3,12,0.0,0.0,0.0,0.0,29.0,32.3,26.4,11.2,33.1
12,Changi,2016,3,13,2.4,2.4,2.4,2.4,29.0,33.6,26.0,10.4,33.1
13,Changi,2016,3,14,0.0,0.0,0.0,0.0,29.2,32.9,27.1,11.9,29.9
14,Changi,2016,3,15,0.0,0.0,0.0,0.0,29.2,32.9,26.9,12.2,35.6
15,Changi,2016,3,16,0.0,0.0,0.0,0.0,28.6,33.4,25.4,10.1,29.2
16,Changi,2016,3,17,0.0,0.0,0.0,0.0,28.9,33.8,25.8,11.2,32.8
17,Changi,2016,3,18,0.0,0.0,0.0,0.0,28.8,33.3,25.8,9.7,26.3
18,Changi,2016,3,19,0.0,0.0,0.0,0.0,28.9,33.2,25.8,12.2,31.0
19,Changi,2016,3,20,0.0,0.0,0.0,0.0,29.3,33.4,27.1,11.2,29.9
20,Changi,2016,3,21,0.2,0.2,0.2,0.2,29.2,34.1,27.3,9.7,34.2
21,Changi,2016,3,22,1.0,1.0,1.0,1.0,28.3,33.5,25.7,6.1,36.0
22,Changi,2016,3,23,0.0,0.0,0.0,0.0,28.8,33.2,26.1,8.3,29.5
23,Changi,2016,3,24,0.0,0.0,0.0,0.0,29.5,33.5,26.9,11.2,31.0
24,Changi,2016,3,25,0.0,0.0,0.0,0.0,29.0,33.7,26.3,8.6,30.2
25,Changi,2016,3,26,0.0,0.0,0.0,0.0,29.5,33.4,26.9,14.0,36.7
26,Changi,2016,3,27,0.0,0.0,0.0,0.0,29.6,33.6,27.5,15.8,41.8
27,Changi,2016,3,28,0.0,0.0,0.0,0.0,29.6,34.0,27.0,16.6,38.9
28,Changi,2016,3,29,0.0,0.0,0.0,0.0,29.3,33.7,27.3,15.1,40.3
29,Changi,2016,3,30,0.0,0.0,0.0,0.0,29.4,33.5,26.7,13.0,33.5
30,Changi,2016,3,31,0.0,0.0,0.0,0.0,29.6,33.8,26.9,13.3,32.8
0,Changi,2016,4,1,0.0,0.0,0.0,0.0,29.6,34.2,27.1,13.7,33.1
1,Changi,2016,4,2,0.0,0.0,0.0,0.0,29.8,34.4,26.5,11.5,35.3
2,Changi,2016,4,3,7.6,7.6,7.6,7.6,28.8,31.9,26.0,9.4,34.6
3,Changi,2016,4,4,6.2,4.2,5.0,6.0,29.2,32.3,27.0,9.4,31.3
4,Changi,2016,4,5,0.0,0.0,0.0,0.0,29.0,31.7,27.5,10.1,32.0
5,Changi,2016,4,6,0.0,0.0,0.0,0.0,29.4,33.8,26.3,9.7,31.7
6,Changi,2016,4,7,0.0,0.0,0.0,0.0,29.3,33.7,25.9,10.1,31.7
7,Changi,2016,4,8,0.0,0.0,0.0,0.0,29.7,34.4,26.6,9.7,28.8
8,Changi,2016,4,9,1.2,0.8,1.2,1.2,28.8,33.3,26.3,6.5,35.6
9,Changi,2016,4,10,0.0,0.0,0.0,0.0,29.7,35.0,26.4,9.4,29.5
10,Changi,2016,4,11,0.0,0.0,0.0,0.0,29.8,33.5,27.8,6.5,22.0
11,Changi,2016,4,12,9.4,8.2,9.2,9.4,29.9,34.5,25.7,5.8,45.0
12,Changi,2016,4,13,0.0,0.0,0.0,0.0,29.6,33.2,27.2,6.8,36.0
13,Changi,2016,4,14,9.6,9.4,9.4,9.4,29.4,33.6,25.6,5.8,36.4
14,Changi,2016,4,15,4.8,2.0,2.6,4.4,28.9,30.7,26.1,7.9,27.7
15,Changi,2016,4,16,0.0,0.0,0.0,0.0,29.9,33.5,27.1,9.0,31.3
16,Changi,2016,4,17,0.0,0.0,0.0,0.0,30.1,34.1,27.3,11.2,33.8
17,Changi,2016,4,18,0.0,0.0,0.0,0.0,30.3,34.1,27.2,9.0,29.9
18,Changi,2016,4,19,0.2,0.2,0.2,0.2,30.5,34.6,27.3,11.2,32.0
19,Changi,2016,4,20,0.4,0.4,0.4,0.4,29.4,33.8,27.4,7.2,35.3
20,Changi,2016,4,21,0.0,0.0,0.0,0.0,30.4,34.8,27.2,11.5,30.2
21,Changi,2016,4,22,0.0,0.0,0.0,0.0,29.7,33.7,28.2,10.4,35.3
22,Changi,2016,4,23,0.0,0.0,0.0,0.0,29.8,33.1,27.8,9.7,31.7
23,Changi,2016,4,24,13.8,12.2,12.2,12.4,29.2,31.6,25.9,6.8,45.7
24,Changi,2016,4,25,18.2,12.2,14.2,14.2,28.7,32.6,25.4,5.4,27.0
25,Changi,2016,4,26,7.6,5.8,5.8,5.8,28.9,32.6,25.3,5.0,22.3
26,Changi,2016,4,27,4.2,4.2,4.2,4.2,28.9,33.6,25.5,6.5,27.4
