,temperature,date,time
0,,2016-03-18,09:00:00
1,,2016-03-18,10:00:00
2,,2016-03-18,11:00:00
3,,2016-03-18,12:00:00
4,,2016-03-18,13:00:00
5,,2016-03-18,14:00:00
6,,2016-03-18,15:00:00
7,,2016-03-18,16:00:00
8,,2016-03-18,17:00:00
9,,2016-03-18,18:00:00
10,,2016-03-18,19:00:00
11,,2016-03-19,09:00:00
12,,2016-03-19,10:00:00
13,,2016-03-19,11:00:00
14,,2016-03-19,12:00:00
15,,2016-03-19,13:00:00
16,,2016-03-19,14:00:00
17,,2016-03-19,15:00:00
18,,2016-03-19,16:00:00
19,,2016-03-19,17:00:00
20,,2016-03-19,18:00:00
21,,2016-03-19,19:00:00
22,,2016-03-20,09:00:00
23,,2016-03-20,10:00:00
24,,2016-03-20,11:00:00
25,,2016-03-20,12:00:00
26,,2016-03-20,13:00:00
27,,2016-03-20,14:00:00
28,,2016-03-20,15:00:00
29,,2016-03-20,16:00:00
30,,2016-03-20,17:00:00
31,,2016-03-20,18:00:00
32,,2016-03-20,19:00:00
33,,2016-03-21,09:00:00
34,,2016-03-21,10:00:00
35,,2016-03-21,11:00:00
36,,2016-03-21,12:00:00
37,,2016-03-21,13:00:00
38,,2016-03-21,14:00:00
39,,2016-03-21,15:00:00
40,,2016-03-21,16:00:00
41,,2016-03-21,17:00:00
42,,2016-03-21,18:00:00
43,,2016-03-21,19:00:00
44,,2016-03-22,09:00:00
45,,2016-03-22,10:00:00
46,,2016-03-22,11:00:00
47,,2016-03-22,12:00:00
48,,2016-03-22,13:00:00
49,,2016-03-22,14:00:00
50,,2016-03-22,15:00:00
51,,2016-03-22,16:00:00
52,,2016-03-22,17:00:00
53,,2016-03-22,18:00:00
54,,2016-03-22,19:00:00
55,,2016-03-23,09:00:00
56,,2016-03-23,10:00:00
57,,2016-03-23,11:00:00
58,,2016-03-23,12:00:00
59,,2016-03-23,13:00:00
60,,2016-03-23,14:00:00
61,,2016-03-23,15:00:00
62,,2016-03-23,16:00:00
63,,2016-03-23,17:00:00
64,,2016-03-23,18:00:00
65,,2016-03-23,19:00:00
66,,2016-03-24,09:00:00
67,,2016-03-24,10:00:00
68,,2016-03-24,11:00:00
69,,2016-03-24,12:00:00
70,,2016-03-24,13:00:00
71,,2016-03-24,14:00:00
72,,2016-03-24,15:00:00
73,,2016-03-24,16:00:00
74,,2016-03-24,17:00:00
75,,2016-03-24,18:00:00
76,,2016-03-24,19:00:00
77,,2016-03-25,09:00:00
78,,2016-03-25,10:00:00
79,,2016-03-25,11:00:00
80,,2016-03-25,12:00:00
81,,2016-03-25,13:00:00
82,,2016-03-25,14:00:00
83,,2016-03-25,15:00:00
84,,2016-03-25,16:00:00
85,,2016-03-25,17:00:00
86,,2016-03-25,18:00:00
87,,2016-03-25,19:00:00
88,,2016-03-26,09:00:00
89,,2016-03-26,10:00:00
90,,2016-03-26,11:00:00
91,,2016-03-26,12:00:00
92,,2016-03-26,13:00:00
93,,2016-03-26,14:00:00
94,,2016-03-26,15:00:00
95,,2016-03-26,16:00:00
96,,2016-03-26,17:00:00
97,,2016-03-26,18:00:00
98,,2016-03-26,19:00:00
99,,2016-03-27,09:00:00
100,,2016-03-27,10:00:00
101,,2016-03-27,11:00:00
102,,2016-03-27,12:00:00
103,,2016-03-27,13:00:00
104,,2016-03-27,14:00:00
105,,2016-03-27,15:00:00
106,,2016-03-27,16:00:00
107,,2016-03-27,17:00:00
108,,2016-03-27,18:00:00
109,,2016-03-27,19:00:00
110,,2016-03-28,09:00:00
111,,2016-03-28,10:00:00
112,,2016-03-28,11:00:00
113,,2016-03-28,12:00:00
114,,2016-03-28,13:00:00
115,,2016-03-28,14:00:00
116,,2016-03-28,15:00:00
117,,2016-03-28,16:00:00
118,,2016-03-28,17:00:00
119,,2016-03-28,18:00:00
120,,2016-03-28,19:00:00
121,,2016-03-29,09:00:00
122,,2016-03-29,10:00:00
123,,2016-03-29,11:00:00
124,,2016-03-29,12:00:00
125,,2016-03-29,13:00:00
126,,2016-03-29,14:00:00
127,,2016-03-29,15:00:00
128,,2016-03-29,16:00:00
129,,2016-03-29,17:00:00
130,,2016-03-29,18:00:00
131,,2016-03-29,19:00:00
132,,2016-03-30,09:00:00
133,,2016-03-30,10:00:00
134,,2016-03-30,11:00:00
135,,2016-03-30,12:00:00
136,,2016-03-30,13:00:00
137,,2016-03-30,14:00:00
138,,2016-03-30,15:00:00
139,,2016-03-30,16:00:00
140,,2016-03-30,17:00:00
141,,2016-03-30,18:00:00
142,,2016-03-30,19:00:00
143,,2016-03-31,09:00:00
144,,2016-03-31,10:00:00
145,,2016-03-31,11:00:00
146,,2016-03-31,12:00:00
147,,2016-03-31,13:00:00
148,,2016-03-31,14:00:00
149,,2016-03-31,15:00:00
150,,2016-03-31,16:00:00
151,,2016-03-31,17:00:00
152,,2016-03-31,18:00:00
153,,2016-03-31,19:00:00
154,,2016-04-01,09:00:00
155,,2016-04-01,10:00:00
156,,2016-04-01,11:00:00
157,,2016-04-01,12:00:00
158,,2016-04-01,13:00:00
159,,2016-04-01,14:00:00
160,,2016-04-01,15:00:00
161,,2016-04-01,16:00:00
162,,2016-04-01,17:00:00
163,,2016-04-01,18:00:00
164,,2016-04-01,19:00:00
165,,2016-04-02,09:00:00
166,,2016-04-02,10:00:00
167,,2016-04-02,11:00:00
168,,2016-04-02,12:00:00
169,,2016-04-02,13:00:00
170,,2016-04-02,14:00:00
171,,2016-04-02,15:00:00
172,,2016-04-02,16:00:00
173,,2016-04-02,17:00:00
174,,2016-04-02,18:00:00
175,,2016-04-02,19:00:00
176,,2016-04-03,09:00:00
