,Units,Date,Month,Year,Date.1,Time,Temperature,Ph,Algae Coverage,Algae species,Fauna Species,Snails,Nerites,Crabs,Barnacles,Limpets,Landslugs,Tubeworm,Anemone,Shrimps,Bivalves,Ascidians,Sponge,Other,is_treatment,shannons_index,treatment_group,month_rainfall
0,E9,18,3,2016,3/18/16,2:30:00 PM,38.4,,90,1,1,2,10,0,0,0,0,0,0,0,0,0,0,0,1,0.4505612088663046,D1B,6.2
1,E8,18,3,2016,3/18/16,2:35:00 PM,37.9,,70,1,1,2,20,0,0,0,0,0,0,0,0,0,0,0,1,0.3046360973492381,D2A,6.2
2,E7 (CON),18,3,2016,3/18/16,2:40:00 PM,35.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CON,6.2
3,E6,18,3,2016,3/18/16,2:45:00 PM,37.9,,20,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,D1A,6.2
4,E5,18,3,2016,3/18/16,2:50:00 PM,37.8,,20,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,D1A,6.2
5,E4 (CON),18,3,2016,3/18/16,2:55:00 PM,35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CON,6.2
6,E3,18,3,2016,3/18/16,3:00:00 PM,38.2,,50,1,1,2,20,0,0,0,0,0,0,0,0,0,0,0,1,0.3046360973492381,D2B,6.2
7,E2,18,3,2016,3/18/16,3:05:00 PM,38.1,,80,1,1,2,10,0,0,0,0,0,0,0,0,0,0,0,1,0.4505612088663046,D2B,6.2
8,E1,18,3,2016,3/18/16,3:10:00 PM,38,,80,1,1,2,10,0,0,0,0,0,0,0,0,0,0,0,1,0.4505612088663046,D2B,6.2
9,W1 (CON),18,3,2016,3/18/16,3:15:00 PM,35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CON,6.2
10,W2,18,3,2016,3/18/16,3:20:00 PM,38,,10,1,1,1,40,0,0,0,0,0,0,0,0,0,0,0,1,0.11466528220290655,D1B,6.2
11,W3,18,3,2016,3/18/16,3:25:00 PM,37.8,,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,1,0,D1A,6.2
12,W4,18,3,2016,3/18/16,3:30:00 PM,37.5,,10,1,2,1,50,0,0,0,0,0,0,0,0,0,0,0,1,0.09650896073594732,D2B,6.2
13,W5 (CON),18,3,2016,3/18/16,3:35:00 PM,35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CON,6.2
14,W6,18,3,2016,3/18/16,3:40:00 PM,37.5,,40,1,1,2,40,0,0,0,0,0,0,0,0,0,0,0,1,0.19144408195771734,D2A,6.2
