,Units,Date,Month,Year,Date.1,Time,Temperature,Ph,Algae Coverage,Algae species,Fauna Species,Snails,Nerites,Crabs,Barnacles,Limpets,Landslugs,Tubeworm,Anemone,Shrimps,Bivalves,Ascidians,Sponge,Other,is_treatment,shannons_index
0,E9,18,3,2016,3/18/16,2:30:00 PM,38.4,,90,1,1,2,10,0,0,0,0,0,0,0,0,0,0,0,1,0.45056120886630463
1,E8,18,3,2016,3/18/16,2:35:00 PM,37.9,,70,1,1,2,20,0,0,0,0,0,0,0,0,0,0,0,1,0.30463609734923813
2,E7 (CON),18,3,2016,3/18/16,2:40:00 PM,35.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3,E6,18,3,2016,3/18/16,2:45:00 PM,37.9,,20,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0
4,E5,18,3,2016,3/18/16,2:50:00 PM,37.8,,20,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0
5,E4 (CON),18,3,2016,3/18/16,2:55:00 PM,35.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,E3,18,3,2016,3/18/16,3:00:00 PM,38.2,,50,1,1,2,20,0,0,0,0,0,0,0,0,0,0,0,1,0.30463609734923813
7,E2,18,3,2016,3/18/16,3:05:00 PM,38.1,,80,1,1,2,10,0,0,0,0,0,0,0,0,0,0,0,1,0.45056120886630463
8,E1,18,3,2016,3/18/16,3:10:00 PM,38.0,,80,1,1,2,10,0,0,0,0,0,0,0,0,0,0,0,1,0.45056120886630463
9,W1 (CON),18,3,2016,3/18/16,3:15:00 PM,35.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,W2,18,3,2016,3/18/16,3:20:00 PM,38.0,,10,1,1,1,40,0,0,0,0,0,0,0,0,0,0,0,1,0.11466528220290656
11,W3,18,3,2016,3/18/16,3:25:00 PM,37.8,,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,1,-0.0
12,W4,18,3,2016,3/18/16,3:30:00 PM,37.5,,10,1,2,1,50,0,0,0,0,0,0,0,0,0,0,0,1,0.09650896073594732
13,W5 (CON),18,3,2016,3/18/16,3:35:00 PM,35.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14,W6,18,3,2016,3/18/16,3:40:00 PM,37.5,,40,1,1,2,40,0,0,0,0,0,0,0,0,0,0,0,1,0.19144408195771734
15,W7,18,3,2016,3/18/16,3:45:00 PM,37.7,,50,1,1,2,40,0,0,0,0,0,0,0,0,0,0,0,1,0.19144408195771734
16,W8,18,3,2016,3/18/16,3:50:00 PM,37.7,,70,1,1,2,10,0,0,0,0,0,0,0,0,0,0,0,1,0.45056120886630463
17,W9,18,3,2016,3/18/16,3:55:00 PM,37.6,,60,1,1,2,10,0,0,0,0,0,0,0,0,0,0,0,1,0.45056120886630463
18,W10,18,3,2016,3/18/16,4:00:00 PM,37.7,,70,1,1,2,10,0,0,0,0,0,0,0,0,0,0,0,1,0.45056120886630463
19,E1,1,4,2016,4/1/16,11:30:00 AM,34.6,9.28,30,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0
